birdId,birdName,scientificName
304,Crested Francolin,Ortygornis sephaena
305,Natal Spurfowl,Pternistis natalensis
306,Red-billed Spurfowl,Pternistis adspersus
307,Red-necked Spurfowl,Pternistis afer
308,Swainson's Spurfowl,Pternistis swainsonii
309,Cape Spurfowl,Pternistis capensis
310,Hartlaub's Spurfowl,Pternistis hartlaubi
311,Chukar Partridge,Alectoris chukar
312,Indian Peafowl,Pavo cristatus
313,Common Quail,Coturnix coturnix
314,Harlequin Quail,Coturnix delegorguei
315,Blue Quail,Synoicus adansonii
316,Common Buttonquail,Turnix sylvaticus
317,Black-rumped Buttonquail,Turnix nanus
318,Fynbos Buttonquail,Turnix hottentottus
319,Spotted Thick-knee,Burhinus capensis
320,Water Thick-knee,Burhinus vermiculatus
321,Crowned Lapwing,Vanellus coronatus
322,Black-winged Lapwing,Vanellus melanopterus
323,Senegal Lapwing,Vanellus lugubris
324,Blacksmith Lapwing,Vanellus armatus
325,Spur-winged Lapwing,Vanellus spinosus
326,Long-toed Lapwing,Vanellus crassirostris
327,African Wattled Lapwing,Vanellus senegallus
328,White-crowned Lapwing,Vanellus albiceps
329,Bronze-winged Courser,Rhinoptilus chalcopterus
330,Three-banded Courser,Rhinoptilus cinctus
331,Double-banded Courser,Rhinoptilus africanus
332,Burchell's Courser,Cursorius rufus
333,Temminck's Courser,Cursorius temminckii
334,Burchell's Sandgrouse,Pterocles burchelli
335,Double-banded Sandgrouse,Pterocles bicinctus
336,Namaqua Sandgrouse,Pterocles namaqua
337,Yellow-throated Sandgrouse,Pterocles gutturalis
338,Western Osprey,Pandion haliaetus
339,African Fish Eagle,Icthyophaga vocifer
340,Palm-nut Vulture,Gypohierax angolensis
341,European Honey Buzzard,Pernis apivorus
342,Crested Honey Buzzard,Pernis ptilorhynchus
343,African Harrier-Hawk,Polyboroides typus
344,Bat Hawk,Macheiramphus alcinus
345,Bearded Vulture,Gypaetus barbatus
346,Egyptian Vulture,Neophron percnopterus
347,Cape Vulture,Gyps coprotheres
348,White-backed Vulture,Gyps africanus
349,Rüppell's Vulture,Gyps rueppelli
350,Hooded Vulture,Necrosyrtes monachus
351,White-headed Vulture,Trigonoceps occipitalis
352,Lappet-faced Vulture,Torgos tracheliotos
353,Southern Banded Snake Eagle,Circaetus fasciolatus
354,Western Banded Snake Eagle,Circaetus cinerascens
355,Black-chested Snake Eagle,Circaetus pectoralis
356,Brown Snake Eagle,Circaetus cinereus
357,Bateleur,Terathopius ecaudatus
358,Verreaux's Eagle,Aquila verreauxii
359,Crowned Eagle,Stephanoaetus coronatus
360,Martial Eagle,Polemaetus bellicosus
361,Tawny Eagle,Aquila rapax
362,Steppe Eagle,Aquila nipalensis
363,Lesser Spotted Eagle,Clanga pomarina
364,Wahlberg's Eagle,Hieraaetus wahlbergi
365,Booted Eagle,Hieraaetus pennatus
366,Ayres's Hawk-Eagle,Hieraaetus ayresii
367,African Hawk-Eagle,Aquila spilogaster
368,Long-crested Eagle,Lophaetus occipitalis
369,Jackal Buzzard,Buteo rufofuscus
370,Augur Buzzard,Buteo augur
371,Forest Buzzard,Buteo trizonatus
372,Common Buzzard,Buteo buteo
373,Long-legged Buzzard,Buteo rufinus
374,Red-necked Buzzard,Buteo auguralis
375,Grasshopper Buzzard,Butastur rufipennis
376,Black-winged Kite,Elanus caeruleus
377,Black Kite,Milvus migrans
378,Yellow-billed Kite,Milvus aegyptius
379,African Marsh Harrier,Circus ranivorus
380,Western Marsh Harrier,Circus aeruginosus
381,Montagu's Harrier,Circus pygargus
382,Pallid Harrier,Circus macrourus
383,Black Harrier,Circus maurus
384,African Cuckoo Hawk,Aviceda cuculoides
385,Lizard Buzzard,Kaupifalco monogrammicus
386,Dark Chanting Goshawk,Melierax metabates
387,Pale Chanting Goshawk,Melierax canorus
388,Gabar Goshawk,Micronisus gabar
389,Ovambo Sparrowhawk,Accipiter ovampensis
390,Shikra,Tachyspiza badia
391,Little Sparrowhawk,Tachyspiza minulla
392,African Goshawk,Aerospiza tachiro
393,Rufous-breasted Sparrowhawk,Accipiter rufiventris
394,Black Sparrowhawk,Astur melanoleucus
395,Peregrine Falcon,Falco peregrinus
396,Lanner Falcon,Falco biarmicus
397,Eleonora's Falcon,Falco eleonorae
398,Taita Falcon,Falco fasciinucha
399,African Hobby,Falco cuvierii
400,Eurasian Hobby,Falco subbuteo
401,Amur Falcon,Falco amurensis
402,Red-footed Falcon,Falco vespertinus
403,Red-necked Falcon,Falco chicquera
404,Sooty Falcon,Falco concolor
405,Dickinson's Kestrel,Falco dickinsoni
406,Grey Kestrel,Falco ardosiaceus
407,Lesser Kestrel,Falco naumanni
408,Rock Kestrel,Falco rupicolus
409,Greater Kestrel,Falco rupicoloides
410,Pygmy Falcon,Polihierax semitorquatus
411,Western Barn Owl,Tyto alba
412,African Grass Owl,Tyto capensis
413,Marsh Owl,Asio capensis
414,African Wood Owl,Strix woodfordii
415,African Barred Owlet,Glaucidium capense
416,Pearl-spotted Owlet,Glaucidium perlatum
417,Southern White-faced Owl,Ptilopsis granti
418,African Scops Owl,Otus senegalensis
419,Spotted Eagle-Owl,Bubo africanus
420,Cape Eagle-Owl,Bubo capensis
421,Verreaux's Eagle-Owl,Ketupa lactea
422,Pel's Fishing Owl,Scotopelia peli
423,European Nightjar,Caprimulgus europaeus
424,Rufous-cheeked Nightjar,Caprimulgus rufigena
425,Fiery-necked Nightjar,Caprimulgus pectoralis
426,Square-tailed Nightjar,Caprimulgus fossii
427,Swamp Nightjar,Caprimulgus natalensis
428,Freckled Nightjar,Caprimulgus tristigma
429,Pennant-winged Nightjar,Caprimulgus vexillarius
430,Rock Dove,Columba livia
431,Speckled Pigeon,Columba guinea
432,African Olive Pigeon,Columba arquatrix
433,Eastern Bronze-naped Pigeon,Columba delegorguei
434,Lemon Dove,Columba larvata
435,Laughing Dove,Spilopelia senegalensis
436,Cape Turtle Dove,Streptopelia capicola
437,Red-eyed Dove,Streptopelia semitorquata
438,African Mourning Dove,Streptopelia decipiens
439,European Turtle Dove,Streptopelia turtur
440,Emerald-spotted Wood Dove,Turtur chalcospilos
441,Blue-spotted Wood Dove,Turtur afer
442,Tambourine Dove,Turtur tympanistria
443,Namaqua Dove,Oena capensis
444,African Green Pigeon,Treron calvus
445,Knysna Turaco,Tauraco corythaix
446,Livingstone's Turaco,Tauraco livingstonii
447,Schalow's Turaco,Tauraco schalowi
448,Purple-crested Turaco,Gallirex porphyreolophus
449,Ross's Turaco,Tauraco rossae
450,Grey Go-away-bird,Crinifer concolor
451,Burchell's Coucal,Centropus burchellii
452,White-browed Coucal,Centropus superciliosus
453,Senegal Coucal,Centropus senegalensis
454,Coppery-tailed Coucal,Centropus cupreicaudus
455,Black Coucal,Centropus grillii
456,Green Malkoha,Ceuthmochares australis
457,Red-chested Cuckoo,Cuculus solitarius
458,African Cuckoo,Cuculus gularis
459,Common Cuckoo,Cuculus canorus
460,Lesser Cuckoo,Cuculus poliocephalus
461,Madagascan Cuckoo,Cuculus rochii
