birdId,birdName,scientificName,found_in_xenocanto,xenocanto_recordings
244,Black-tailed Godwit,Limosa limosa,Yes,602
245,Hudsonian Godwit,Limosa haemastica,Yes,17
246,Ruddy Turnstone,Arenaria interpres,Yes,511
247,Red Knot,Calidris canutus,Yes,265
248,Great Knot,Calidris tenuirostris,Yes,5
249,Curlew Sandpiper,Calidris ferruginea,Yes,200
250,Dunlin,Calidris alpina,Yes,1290
251,White-rumped Sandpiper,Calidris fuscicollis,Yes,69
252,Baird's Sandpiper,Calidris bairdii,Yes,101
253,Sanderling,Calidris alba,Yes,315
254,Temminck's Stint,Calidris temminckii,Yes,191
255,Long-toed Stint,Calidris subminuta,Yes,27
256,Red-necked Stint,Calidris ruficollis,Yes,49
257,Little Stint,Calidris minuta,Yes,167
258,Broad-billed Sandpiper,Calidris falcinellus,Yes,100
259,Pectoral Sandpiper,Calidris melanotos,Yes,165
260,Sharp-tailed Sandpiper,Calidris acuminata,Yes,13
261,Buff-breasted Sandpiper,Calidris subruficollis,Yes,13
262,Ruff,Calidris pugnax,Yes,51
263,Terek Sandpiper,Xenus cinereus,Yes,155
264,Common Sandpiper,Actitis hypoleucos,Yes,2117
265,Green Sandpiper,Tringa ochropus,Yes,1564
266,Wood Sandpiper,Tringa glareola,Yes,1105
267,Marsh Sandpiper,Tringa stagnatilis,Yes,137
268,Common Greenshank,Tringa nebularia,Yes,1361
269,Greater Yellowlegs,Tringa melanoleuca,Yes,273
270,Lesser Yellowlegs,Tringa flavipes,Yes,312
271,Common Redshank,Tringa totanus,Yes,1659
272,Spotted Redshank,Tringa erythropus,Yes,469
273,Red-necked Phalarope,Phalaropus lobatus,Yes,167
274,Red Phalarope,Phalaropus fulicarius,Yes,104
275,Wilson's Phalarope,Phalaropus tricolor,Yes,33
276,Collared Pratincole,Glareola pratincola,Yes,151
277,Black-winged Pratincole,Glareola nordmanni,Yes,26
278,Rock Pratincole,Glareola nuchalis,Yes,17
279,Madagascar Pratincole,Glareola ocularis,Yes,12
280,Common Ostrich,Struthio camelus,Yes,38
281,Secretarybird,Sagittarius serpentarius,Yes,5
282,Southern Ground Hornbill,Bucorvus leadbeateri,Yes,37
283,Blue Crane,Grus paradisea,Yes,53
284,Wattled Crane,Grus carunculata,Yes,4
285,Grey Crowned Crane,Balearica regulorum,Yes,34
286,Kori Bustard,Ardeotis kori,Yes,4
287,Denham's Bustard,Neotis denhami,Yes,0
288,Ludwig's Bustard,Neotis ludwigii,Yes,3
289,Southern Black Korhaan,Afrotis afra,Yes,25
290,Northern Black Korhaan,Afrotis afraoides,Yes,67
291,Black-bellied Korhaan,Lissotis melanogaster,Yes,12
292,Red-crested Korhaan,Lophotis ruficrista,Yes,40
293,White-bellied Korhaan,Eupodotis senegalensis,Yes,36
294,Blue Korhaan,Eupodotis caerulescens,Yes,22
295,Karoo Korhaan,Heterotetrax vigorsii,Yes,0
296,Rüppell's Korhaan,Heterotetrax rueppelii,Yes,0
297,Helmeted Guineafowl,Numida meleagris,Yes,144
298,Crested Guineafowl,Guttera edouardi,Yes,0
299,Coqui Francolin,Campocolinus coqui,Yes,36
300,Grey-winged Francolin,Scleroptila afra,Yes,18
301,Orange River Francolin,Scleroptila gutturalis,Yes,29
302,Red-winged Francolin,Scleroptila levaillantii,Yes,28
303,Shelley's Francolin,Scleroptila shelleyi,Yes,36
304,Crested Francolin,Ortygornis sephaena,Yes,97
305,Natal Spurfowl,Pternistis natalensis,Yes,76
306,Red-billed Spurfowl,Pternistis adspersus,Yes,27
307,Red-necked Spurfowl,Pternistis afer,Yes,64
308,Swainson's Spurfowl,Pternistis swainsonii,Yes,42
309,Cape Spurfowl,Pternistis capensis,Yes,16
310,Hartlaub's Spurfowl,Pternistis hartlaubi,Yes,12
311,Chukar Partridge,Alectoris chukar,Yes,120
312,Indian Peafowl,Pavo cristatus,Yes,339
313,Common Quail,Coturnix coturnix,Yes,1669
314,Harlequin Quail,Coturnix delegorguei,Yes,44
315,Blue Quail,Synoicus adansonii,Yes,0
316,Common Buttonquail,Turnix sylvaticus,Yes,150
317,Black-rumped Buttonquail,Turnix nanus,Yes,2
318,Fynbos Buttonquail,Turnix hottentottus,Yes,1
319,Spotted Thick-knee,Burhinus capensis,Yes,45
320,Water Thick-knee,Burhinus vermiculatus,Yes,63
321,Crowned Lapwing,Vanellus coronatus,Yes,84
322,Black-winged Lapwing,Vanellus melanopterus,Yes,25
323,Senegal Lapwing,Vanellus lugubris,Yes,18
324,Blacksmith Lapwing,Vanellus armatus,Yes,99
325,Spur-winged Lapwing,Vanellus spinosus,Yes,124
326,Long-toed Lapwing,Vanellus crassirostris,Yes,17
327,African Wattled Lapwing,Vanellus senegallus,Yes,89
328,White-crowned Lapwing,Vanellus albiceps,Yes,17
329,Bronze-winged Courser,Rhinoptilus chalcopterus,Yes,7
330,Three-banded Courser,Rhinoptilus cinctus,Yes,11
331,Double-banded Courser,Rhinoptilus africanus,Yes,20
332,Burchell's Courser,Cursorius rufus,Yes,6
333,Temminck's Courser,Cursorius temminckii,Yes,8
334,Burchell's Sandgrouse,Pterocles burchelli,Yes,7
335,Double-banded Sandgrouse,Pterocles bicinctus,Yes,15
336,Namaqua Sandgrouse,Pterocles namaqua,Yes,30
337,Yellow-throated Sandgrouse,Pterocles gutturalis,Yes,13
338,Western Osprey,Pandion haliaetus,Yes,352
339,African Fish Eagle,Icthyophaga vocifer,Yes,0
340,Palm-nut Vulture,Gypohierax angolensis,Yes,8
341,European Honey Buzzard,Pernis apivorus,Yes,175
342,Crested Honey Buzzard,Pernis ptilorhynchus,Yes,102
343,African Harrier-Hawk,Polyboroides typus,Yes,28
344,Bat Hawk,Macheiramphus alcinus,Yes,10
345,Bearded Vulture,Gypaetus barbatus,Not searched,
346,Egyptian Vulture,Neophron percnopterus,Not searched,
347,Cape Vulture,Gyps coprotheres,Not searched,
348,White-backed Vulture,Gyps africanus,Not searched,
349,Rüppell's Vulture,Gyps rueppelli,Not searched,
350,Hooded Vulture,Necrosyrtes monachus,Not searched,
351,White-headed Vulture,Trigonoceps occipitalis,Not searched,
352,Lappet-faced Vulture,Torgos tracheliotos,Not searched,
353,Southern Banded Snake Eagle,Circaetus fasciolatus,Not searched,
354,Western Banded Snake Eagle,Circaetus cinerascens,Not searched,
355,Black-chested Snake Eagle,Circaetus pectoralis,Not searched,
356,Brown Snake Eagle,Circaetus cinereus,Not searched,
357,Bateleur,Terathopius ecaudatus,Not searched,
358,Verreaux's Eagle,Aquila verreauxii,Not searched,
359,Crowned Eagle,Stephanoaetus coronatus,Not searched,
360,Martial Eagle,Polemaetus bellicosus,Not searched,
361,Tawny Eagle,Aquila rapax,Not searched,
362,Steppe Eagle,Aquila nipalensis,Not searched,
363,Lesser Spotted Eagle,Clanga pomarina,Not searched,
364,Wahlberg's Eagle,Hieraaetus wahlbergi,Not searched,
365,Booted Eagle,Hieraaetus pennatus,Not searched,
366,Ayres's Hawk-Eagle,Hieraaetus ayresii,Not searched,
367,African Hawk-Eagle,Aquila spilogaster,Not searched,
368,Long-crested Eagle,Lophaetus occipitalis,Not searched,
369,Jackal Buzzard,Buteo rufofuscus,Not searched,
370,Augur Buzzard,Buteo augur,Not searched,
371,Forest Buzzard,Buteo trizonatus,Not searched,
372,Common Buzzard,Buteo buteo,Not searched,
373,Long-legged Buzzard,Buteo rufinus,Not searched,
374,Red-necked Buzzard,Buteo auguralis,Not searched,
375,Grasshopper Buzzard,Butastur rufipennis,Not searched,
376,Black-winged Kite,Elanus caeruleus,Not searched,
377,Black Kite,Milvus migrans,Not searched,
378,Yellow-billed Kite,Milvus aegyptius,Not searched,
379,African Marsh Harrier,Circus ranivorus,Not searched,
380,Western Marsh Harrier,Circus aeruginosus,Not searched,
381,Montagu's Harrier,Circus pygargus,Not searched,
382,Pallid Harrier,Circus macrourus,Not searched,
383,Black Harrier,Circus maurus,Not searched,
384,African Cuckoo Hawk,Aviceda cuculoides,Not searched,
385,Lizard Buzzard,Kaupifalco monogrammicus,Not searched,
386,Dark Chanting Goshawk,Melierax metabates,Not searched,
387,Pale Chanting Goshawk,Melierax canorus,Not searched,
